vid_tw,id_global,date,tw_id,partition_id,vehicle_type,base_color,speed_kmh,direction
VH20260409_0003_TW2520,VH20260409_0003,2026-04-09,TW2520,1,Car,Black,21,S
VH20260409_0007_TW2520,VH20260409_0007,2026-04-09,TW2520,1,Motorbike,Red,3,NW
VH20260409_0006_TW2520,VH20260409_0006,2026-04-09,TW2520,1,Car,Black,45,S
VH20260409_0002_TW2520,VH20260409_0002,2026-04-09,TW2520,1,Car,Black,5,NW
VH20260409_0011_TW2520,VH20260409_0011,2026-04-09,TW2520,1,Truck,Gray,29,NE
VH20260409_0005_TW2520,VH20260409_0005,2026-04-09,TW2520,1,Car,Black,17,SW
VH20260409_0003_TW2521,VH20260409_0003,2026-04-09,TW2521,1,Car,Black,20,SW
VH20260409_0007_TW2521,VH20260409_0007,2026-04-09,TW2521,1,Motorbike,Red,0,N
VH20260409_0005_TW2521,VH20260409_0005,2026-04-09,TW2521,1,Car,Black,12,S
VH20260409_0008_TW2521,VH20260409_0008,2026-04-09,TW2521,1,Motorbike,Black,40,SW
VH20260409_0009_TW2521,VH20260409_0009,2026-04-09,TW2521,1,Car,Red,19,SE
VH20260409_0006_TW2521,VH20260409_0006,2026-04-09,TW2521,1,Car,Black,49,S
VH20260409_0003_TW2522,VH20260409_0003,2026-04-09,TW2522,1,Car,Black,25,SW
VH20260409_0001_TW2522,VH20260409_0001,2026-04-09,TW2522,1,Motorbike,Gray,18,E
VH20260409_0002_TW2522,VH20260409_0002,2026-04-09,TW2522,1,Car,Black,8,SW
VH20260409_0011_TW2522,VH20260409_0011,2026-04-09,TW2522,1,Truck,Gray,36,E
VH20260409_0005_TW2522,VH20260409_0005,2026-04-09,TW2522,1,Car,Black,9,SE
VH20260409_0007_TW2522,VH20260409_0007,2026-04-09,TW2522,1,Motorbike,Red,0,N
VH20260409_0003_TW2523,VH20260409_0003,2026-04-09,TW2523,1,Car,Black,25,SW
VH20260409_0002_TW2523,VH20260409_0002,2026-04-09,TW2523,1,Car,Black,7,S
VH20260409_0009_TW2523,VH20260409_0009,2026-04-09,TW2523,1,Car,Red,21,S
VH20260409_0001_TW2523,VH20260409_0001,2026-04-09,TW2523,1,Motorbike,Gray,22,SE
VH20260409_0003_TW2524,VH20260409_0003,2026-04-09,TW2524,1,Car,Black,26,W
VH20260409_0005_TW2524,VH20260409_0005,2026-04-09,TW2524,1,Car,Black,14,SE
VH20260409_0012_TW2524,VH20260409_0012,2026-04-09,TW2524,1,Car,Black,45,NW
VH20260409_0001_TW2524,VH20260409_0001,2026-04-09,TW2524,1,Motorbike,Gray,19,SE
VH20260409_0007_TW2525,VH20260409_0007,2026-04-09,TW2525,1,Motorbike,Red,3,N
VH20260409_0002_TW2525,VH20260409_0002,2026-04-09,TW2525,1,Car,Black,2,W
VH20260409_0005_TW2525,VH20260409_0005,2026-04-09,TW2525,1,Car,Black,12,E
VH20260409_0001_TW2525,VH20260409_0001,2026-04-09,TW2525,1,Motorbike,Gray,15,E
VH20260409_0004_TW2525,VH20260409_0004,2026-04-09,TW2525,1,Car,Blue,18,S
VH20260409_0010_TW2525,VH20260409_0010,2026-04-09,TW2525,1,Car,White,35,S
VH20260409_0006_TW2525,VH20260409_0006,2026-04-09,TW2525,1,Car,Black,50,SW
VH20260409_0002_TW2526,VH20260409_0002,2026-04-09,TW2526,1,Car,Black,0,NW
VH20260409_0007_TW2526,VH20260409_0007,2026-04-09,TW2526,1,Motorbike,Red,2,N
VH20260409_0006_TW2526,VH20260409_0006,2026-04-09,TW2526,1,Car,Black,53,SW
VH20260409_0010_TW2526,VH20260409_0010,2026-04-09,TW2526,1,Car,White,34,S
VH20260409_0004_TW2526,VH20260409_0004,2026-04-09,TW2526,1,Car,Blue,17,S
VH20260409_0008_TW2526,VH20260409_0008,2026-04-09,TW2526,1,Motorbike,Black,6,SW
VH20260409_0009_TW2526,VH20260409_0009,2026-04-09,TW2526,1,Car,Red,22,S
VH20260409_0006_TW2527,VH20260409_0006,2026-04-09,TW2527,1,Car,Black,48,W
VH20260409_0001_TW2527,VH20260409_0001,2026-04-09,TW2527,1,Motorbike,Gray,43,SE
VH20260409_0002_TW2527,VH20260409_0002,2026-04-09,TW2527,1,Car,Black,4,NW
VH20260409_0008_TW2527,VH20260409_0008,2026-04-09,TW2527,1,Motorbike,Black,4,S
VH20260409_0011_TW2527,VH20260409_0011,2026-04-09,TW2527,1,Truck,Gray,25,SE
VH20260409_0001_TW2528,VH20260409_0001,2026-04-09,TW2528,1,Motorbike,Gray,41,S
VH20260409_0008_TW2528,VH20260409_0008,2026-04-09,TW2528,1,Motorbike,Black,8,SE
VH20260409_0011_TW2528,VH20260409_0011,2026-04-09,TW2528,1,Truck,Gray,20,E
VH20260409_0005_TW2528,VH20260409_0005,2026-04-09,TW2528,1,Car,Black,4,NE
VH20260409_0001_TW2529,VH20260409_0001,2026-04-09,TW2529,1,Motorbike,Gray,46,SE
VH20260409_0006_TW2529,VH20260409_0006,2026-04-09,TW2529,1,Car,Black,42,W
VH20260409_0011_TW2529,VH20260409_0011,2026-04-09,TW2529,1,Truck,Gray,20,SE
VH20260409_0009_TW2529,VH20260409_0009,2026-04-09,TW2529,1,Car,Red,27,SW
VH20260409_0005_TW2529,VH20260409_0005,2026-04-09,TW2529,1,Car,Black,4,E
VH20260409_0011_TW2530,VH20260409_0011,2026-04-09,TW2530,1,Truck,Gray,17,E
VH20260409_0001_TW2530,VH20260409_0001,2026-04-09,TW2530,1,Motorbike,Gray,47,SE
VH20260409_0006_TW2530,VH20260409_0006,2026-04-09,TW2530,1,Car,Black,43,SW
VH20260409_0012_TW2531,VH20260409_0012,2026-04-09,TW2531,1,Car,Black,43,NW
VH20260409_0006_TW2531,VH20260409_0006,2026-04-09,TW2531,1,Car,Black,48,SW
VH20260409_0005_TW2531,VH20260409_0005,2026-04-09,TW2531,1,Car,Black,1,NE
VH20260409_0010_TW2531,VH20260409_0010,2026-04-09,TW2531,1,Car,White,36,W
VH20260409_0003_TW2531,VH20260409_0003,2026-04-09,TW2531,1,Car,Black,21,W
VH20260409_0002_TW2531,VH20260409_0002,2026-04-09,TW2531,1,Car,Black,2,NE
VH20260409_0011_TW2531,VH20260409_0011,2026-04-09,TW2531,1,Truck,Gray,15,E
VH20260409_0012_TW2532,VH20260409_0012,2026-04-09,TW2532,1,Car,Black,39,W
VH20260409_0002_TW2532,VH20260409_0002,2026-04-09,TW2532,1,Car,Black,0,NE
