vid_tw,id_global,date,tw_id,partition_id,vehicle_type,base_color,speed_kmh,direction
VH20260409_0009_TW2520,VH20260409_0009,2026-04-09,TW2520,2,Car,Red,15,E
VH20260409_0004_TW2520,VH20260409_0004,2026-04-09,TW2520,2,Car,Blue,15,SE
VH20260409_0007_TW2523,VH20260409_0007,2026-04-09,TW2523,2,Motorbike,Red,0,N
VH20260409_0004_TW2523,VH20260409_0004,2026-04-09,TW2523,2,Car,Blue,17,SW
VH20260409_0005_TW2523,VH20260409_0005,2026-04-09,TW2523,2,Car,Black,9,S
VH20260409_0006_TW2523,VH20260409_0006,2026-04-09,TW2523,2,Car,Black,48,SE
VH20260409_0012_TW2523,VH20260409_0012,2026-04-09,TW2523,2,Car,Black,45,W
VH20260409_0010_TW2523,VH20260409_0010,2026-04-09,TW2523,2,Car,White,40,S
VH20260409_0008_TW2523,VH20260409_0008,2026-04-09,TW2523,2,Motorbike,Black,40,S
VH20260409_0010_TW2524,VH20260409_0010,2026-04-09,TW2524,2,Car,White,35,SE
VH20260409_0002_TW2524,VH20260409_0002,2026-04-09,TW2524,2,Car,Black,4,SW
VH20260409_0008_TW2524,VH20260409_0008,2026-04-09,TW2524,2,Motorbike,Black,59,S
VH20260409_0009_TW2524,VH20260409_0009,2026-04-09,TW2524,2,Car,Red,26,S
VH20260409_0006_TW2524,VH20260409_0006,2026-04-09,TW2524,2,Car,Black,49,S
VH20260409_0004_TW2524,VH20260409_0004,2026-04-09,TW2524,2,Car,Blue,20,S
VH20260409_0011_TW2524,VH20260409_0011,2026-04-09,TW2524,2,Truck,Gray,33,N
VH20260409_0009_TW2525,VH20260409_0009,2026-04-09,TW2525,2,Car,Red,21,S
VH20260409_0012_TW2525,VH20260409_0012,2026-04-09,TW2525,2,Car,Black,45,NW
VH20260409_0008_TW2525,VH20260409_0008,2026-04-09,TW2525,2,Motorbike,Black,8,W
VH20260409_0003_TW2525,VH20260409_0003,2026-04-09,TW2525,2,Car,Black,26,W
VH20260409_0012_TW2526,VH20260409_0012,2026-04-09,TW2526,2,Car,Black,44,N
VH20260409_0005_TW2526,VH20260409_0005,2026-04-09,TW2526,2,Car,Black,8,E
VH20260409_0003_TW2526,VH20260409_0003,2026-04-09,TW2526,2,Car,Black,29,SW
VH20260409_0001_TW2526,VH20260409_0001,2026-04-09,TW2526,2,Motorbike,Gray,15,SE
VH20260409_0011_TW2526,VH20260409_0011,2026-04-09,TW2526,2,Truck,Gray,27,E
VH20260409_0003_TW2527,VH20260409_0003,2026-04-09,TW2527,2,Car,Black,27,W
VH20260409_0010_TW2528,VH20260409_0010,2026-04-09,TW2528,2,Car,White,38,SW
VH20260409_0012_TW2528,VH20260409_0012,2026-04-09,TW2528,2,Car,Black,45,NW
VH20260409_0004_TW2528,VH20260409_0004,2026-04-09,TW2528,2,Car,Blue,18,SW
VH20260409_0003_TW2528,VH20260409_0003,2026-04-09,TW2528,2,Car,Black,31,SW
VH20260409_0007_TW2528,VH20260409_0007,2026-04-09,TW2528,2,Motorbike,Red,0,NE
VH20260409_0006_TW2528,VH20260409_0006,2026-04-09,TW2528,2,Car,Black,44,W
VH20260409_0012_TW2529,VH20260409_0012,2026-04-09,TW2529,2,Car,Black,50,N
VH20260409_0003_TW2529,VH20260409_0003,2026-04-09,TW2529,2,Car,Black,30,SW
VH20260409_0007_TW2530,VH20260409_0007,2026-04-09,TW2530,2,Motorbike,Red,0,NW
VH20260409_0009_TW2530,VH20260409_0009,2026-04-09,TW2530,2,Car,Red,26,W
VH20260409_0012_TW2530,VH20260409_0012,2026-04-09,TW2530,2,Car,Black,45,NW
VH20260409_0004_TW2530,VH20260409_0004,2026-04-09,TW2530,2,Car,Blue,24,SW
VH20260409_0003_TW2530,VH20260409_0003,2026-04-09,TW2530,2,Car,Black,25,W
VH20260409_0002_TW2530,VH20260409_0002,2026-04-09,TW2530,2,Car,Black,2,N
VH20260409_0005_TW2530,VH20260409_0005,2026-04-09,TW2530,2,Car,Black,4,NE
VH20260409_0010_TW2530,VH20260409_0010,2026-04-09,TW2530,2,Car,White,37,SW
