source_id,destination_id,type,ts_start,ts_end,date,tw_id,partition_id,camera_id,location_id,confidence,bbox,description
L004,L003,NEAR_BY,,,,,4,,,,,distance=50
V_C007_20260409_070000,V_C007_20260409_070500,NEXT_TO,2026-04-09 07:05:00,2026-04-09 07:05:01,2026-04-09,,4,,,,,
V_C007_20260409_070500,V_C007_20260409_071000,NEXT_TO,2026-04-09 07:10:00,2026-04-09 07:10:01,2026-04-09,,4,,,,,
V_C007_20260409_071000,V_C007_20260409_071500,NEXT_TO,2026-04-09 07:15:00,2026-04-09 07:15:01,2026-04-09,,4,,,,,
V_C007_20260409_071500,V_C007_20260409_072000,NEXT_TO,2026-04-09 07:20:00,2026-04-09 07:20:01,2026-04-09,,4,,,,,
V_C007_20260409_072000,V_C007_20260409_072500,NEXT_TO,2026-04-09 07:25:00,2026-04-09 07:25:01,2026-04-09,,4,,,,,
V_C007_20260409_072500,V_C007_20260409_073000,NEXT_TO,2026-04-09 07:30:00,2026-04-09 07:30:01,2026-04-09,,4,,,,,
V_C007_20260409_073000,V_C007_20260409_073500,NEXT_TO,2026-04-09 07:35:00,2026-04-09 07:35:01,2026-04-09,,4,,,,,
V_C007_20260409_073500,V_C007_20260409_074000,NEXT_TO,2026-04-09 07:40:00,2026-04-09 07:40:01,2026-04-09,,4,,,,,
V_C007_20260409_074000,V_C007_20260409_074500,NEXT_TO,2026-04-09 07:45:00,2026-04-09 07:45:01,2026-04-09,,4,,,,,
V_C007_20260409_074500,V_C007_20260409_075000,NEXT_TO,2026-04-09 07:50:00,2026-04-09 07:50:01,2026-04-09,,4,,,,,
V_C007_20260409_075000,V_C007_20260409_075500,NEXT_TO,2026-04-09 07:55:00,2026-04-09 07:55:01,2026-04-09,,4,,,,,
V_C008_20260409_070000,V_C008_20260409_070500,NEXT_TO,2026-04-09 07:05:00,2026-04-09 07:05:01,2026-04-09,,4,,,,,
V_C008_20260409_070500,V_C008_20260409_071000,NEXT_TO,2026-04-09 07:10:00,2026-04-09 07:10:01,2026-04-09,,4,,,,,
V_C008_20260409_071000,V_C008_20260409_071500,NEXT_TO,2026-04-09 07:15:00,2026-04-09 07:15:01,2026-04-09,,4,,,,,
V_C008_20260409_071500,V_C008_20260409_072000,NEXT_TO,2026-04-09 07:20:00,2026-04-09 07:20:01,2026-04-09,,4,,,,,
V_C008_20260409_072000,V_C008_20260409_072500,NEXT_TO,2026-04-09 07:25:00,2026-04-09 07:25:01,2026-04-09,,4,,,,,
V_C008_20260409_072500,V_C008_20260409_073000,NEXT_TO,2026-04-09 07:30:00,2026-04-09 07:30:01,2026-04-09,,4,,,,,
V_C008_20260409_073000,V_C008_20260409_073500,NEXT_TO,2026-04-09 07:35:00,2026-04-09 07:35:01,2026-04-09,,4,,,,,
V_C008_20260409_073500,V_C008_20260409_074000,NEXT_TO,2026-04-09 07:40:00,2026-04-09 07:40:01,2026-04-09,,4,,,,,
V_C008_20260409_074000,V_C008_20260409_074500,NEXT_TO,2026-04-09 07:45:00,2026-04-09 07:45:01,2026-04-09,,4,,,,,
V_C008_20260409_074500,V_C008_20260409_075000,NEXT_TO,2026-04-09 07:50:00,2026-04-09 07:50:01,2026-04-09,,4,,,,,
V_C008_20260409_075000,V_C008_20260409_075500,NEXT_TO,2026-04-09 07:55:00,2026-04-09 07:55:01,2026-04-09,,4,,,,,
C007,L004,LOCATED_AT,,,,,4,C007,L004,,,
V_C007_20260409_070000,C007,RECORDED_BY,2026-04-09 07:00:00,2026-04-09 07:05:00,2026-04-09,,4,C007,L004,,,
VH20260409_0010_TW2520,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:00:07,2026-04-09 07:00:10,2026-04-09,TW2520,4,C007,L004,0.925,"{""x"": 1361, ""y"": 6, ""w"": 77, ""h"": 385}",
C008,L004,LOCATED_AT,,,,,4,C008,L004,,,
V_C008_20260409_070000,C008,RECORDED_BY,2026-04-09 07:00:00,2026-04-09 07:05:00,2026-04-09,,4,C008,L004,,,
VH20260409_0001_TW2520,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:00:00,2026-04-09 07:00:03,2026-04-09,TW2520,4,C008,L004,0.711,"{""x"": 1334, ""y"": 208, ""w"": 258, ""h"": 85}",
VH20260409_0008_TW2520,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:00:03,2026-04-09 07:00:09,2026-04-09,TW2520,4,C008,L004,0.754,"{""x"": 639, ""y"": 79, ""w"": 102, ""h"": 96}",
VH20260409_0004_TW2521,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:00:14,2026-04-09 07:00:15,2026-04-09,TW2521,4,C007,L004,0.797,"{""x"": 556, ""y"": 518, ""w"": 138, ""h"": 184}",
VH20260409_0010_TW2521,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:00:10,2026-04-09 07:00:18,2026-04-09,TW2521,4,C007,L004,0.787,"{""x"": 1201, ""y"": 650, ""w"": 72, ""h"": 100}",
VH20260409_0012_TW2521,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:00:13,2026-04-09 07:00:20,2026-04-09,TW2521,4,C007,L004,0.816,"{""x"": 222, ""y"": 6, ""w"": 61, ""h"": 177}",
VH20260409_0011_TW2521,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:00:11,2026-04-09 07:00:14,2026-04-09,TW2521,4,C008,L004,0.833,"{""x"": 356, ""y"": 103, ""w"": 219, ""h"": 172}",
VH20260409_0001_TW2521,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:00:16,2026-04-09 07:00:17,2026-04-09,TW2521,4,C008,L004,0.807,"{""x"": 284, ""y"": 316, ""w"": 193, ""h"": 212}",
VH20260409_0002_TW2521,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:00:11,2026-04-09 07:00:16,2026-04-09,TW2521,4,C008,L004,0.825,"{""x"": 1314, ""y"": 592, ""w"": 289, ""h"": 107}",
VH20260409_0004_TW2522,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:00:21,2026-04-09 07:00:23,2026-04-09,TW2522,4,C007,L004,0.812,"{""x"": 111, ""y"": 225, ""w"": 277, ""h"": 282}",
VH20260409_0006_TW2522,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:00:27,2026-04-09 07:00:28,2026-04-09,TW2522,4,C007,L004,0.765,"{""x"": 326, ""y"": 601, ""w"": 268, ""h"": 168}",
VH20260409_0011_TW2523,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:00:31,2026-04-09 07:00:32,2026-04-09,TW2523,4,C007,L004,0.964,"{""x"": 308, ""y"": 514, ""w"": 238, ""h"": 260}",
VH20260409_0007_TW2524,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:00:41,2026-04-09 07:00:48,2026-04-09,TW2524,4,C007,L004,0.744,"{""x"": 1097, ""y"": 481, ""w"": 219, ""h"": 366}",
VH20260409_0011_TW2525,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:00:55,2026-04-09 07:01:00,2026-04-09,TW2525,4,C007,L004,0.832,"{""x"": 1363, ""y"": 785, ""w"": 200, ""h"": 103}",
VH20260409_0009_TW2528,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:01:24,2026-04-09 07:01:25,2026-04-09,TW2528,4,C007,L004,0.74,"{""x"": 748, ""y"": 119, ""w"": 213, ""h"": 268}",
VH20260409_0002_TW2528,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:01:20,2026-04-09 07:01:26,2026-04-09,TW2528,4,C007,L004,0.725,"{""x"": 913, ""y"": 510, ""w"": 128, ""h"": 267}",
VH20260409_0008_TW2529,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:01:33,2026-04-09 07:01:38,2026-04-09,TW2529,4,C007,L004,0.939,"{""x"": 1115, ""y"": 135, ""w"": 82, ""h"": 210}",
VH20260409_0004_TW2529,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:01:32,2026-04-09 07:01:38,2026-04-09,TW2529,4,C008,L004,0.769,"{""x"": 1204, ""y"": 108, ""w"": 165, ""h"": 187}",
VH20260409_0007_TW2529,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:01:33,2026-04-09 07:01:35,2026-04-09,TW2529,4,C008,L004,0.827,"{""x"": 231, ""y"": 332, ""w"": 161, ""h"": 241}",
VH20260409_0002_TW2529,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:01:30,2026-04-09 07:01:38,2026-04-09,TW2529,4,C008,L004,0.746,"{""x"": 779, ""y"": 458, ""w"": 97, ""h"": 354}",
VH20260409_0010_TW2529,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:01:31,2026-04-09 07:01:33,2026-04-09,TW2529,4,C008,L004,0.721,"{""x"": 492, ""y"": 685, ""w"": 253, ""h"": 269}",
VH20260409_0008_TW2530,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:01:40,2026-04-09 07:01:48,2026-04-09,TW2530,4,C007,L004,0.746,"{""x"": 1339, ""y"": 273, ""w"": 125, ""h"": 357}",
VH20260409_0003_TW2532,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:02:08,2026-04-09 07:02:10,2026-04-09,TW2532,4,C007,L004,0.923,"{""x"": 1381, ""y"": 433, ""w"": 52, ""h"": 349}",
VH20260409_0009_TW2532,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:02:03,2026-04-09 07:02:10,2026-04-09,TW2532,4,C007,L004,0.873,"{""x"": 19, ""y"": 638, ""w"": 90, ""h"": 291}",
VH20260409_0007_TW2534,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:02:23,2026-04-09 07:02:26,2026-04-09,TW2534,4,C007,L004,0.97,"{""x"": 1063, ""y"": 199, ""w"": 105, ""h"": 329}",
VH20260409_0008_TW2535,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:02:32,2026-04-09 07:02:39,2026-04-09,TW2535,4,C007,L004,0.778,"{""x"": 1298, ""y"": 286, ""w"": 99, ""h"": 381}",
VH20260409_0008_TW2538,V_C007_20260409_070000,DETECTED_IN,2026-04-09 07:03:02,2026-04-09 07:03:07,2026-04-09,TW2538,4,C007,L004,0.88,"{""x"": 967, ""y"": 378, ""w"": 130, ""h"": 243}",
VH20260409_0011_TW2538,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:03:04,2026-04-09 07:03:10,2026-04-09,TW2538,4,C008,L004,0.772,"{""x"": 464, ""y"": 131, ""w"": 139, ""h"": 350}",
VH20260409_0006_TW2538,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:03:01,2026-04-09 07:03:07,2026-04-09,TW2538,4,C008,L004,0.722,"{""x"": 566, ""y"": 682, ""w"": 251, ""h"": 196}",
VH20260409_0003_TW2538,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:03:01,2026-04-09 07:03:04,2026-04-09,TW2538,4,C008,L004,0.935,"{""x"": 656, ""y"": 478, ""w"": 62, ""h"": 198}",
VH20260409_0002_TW2538,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:03:01,2026-04-09 07:03:08,2026-04-09,TW2538,4,C008,L004,0.741,"{""x"": 937, ""y"": 551, ""w"": 71, ""h"": 122}",
VH20260409_0009_TW2538,V_C008_20260409_070000,DETECTED_IN,2026-04-09 07:03:06,2026-04-09 07:03:08,2026-04-09,TW2538,4,C008,L004,0.784,"{""x"": 1104, ""y"": 797, ""w"": 175, ""h"": 351}",
